filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,11,22,1
10__M_Left_index_finger.png,10,18,6
10__M_Left_index_finger.png,8,22,4
10__M_Left_index_finger.png,1,18,9
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,15,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,7,24,3
10__M_Left_index_finger.png,10,22,3
10__M_Left_index_finger.png,5,20,7
10__M_Left_index_finger.png,0,10,13
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,13,20,1
10__M_Left_index_finger.png,13,22,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,14,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,15,20,0
10__M_Left_index_finger.png,13,22,0
10__M_Left_index_finger.png,13,22,0
10__M_Left_index_finger.png,2,22,6
10__M_Left_index_finger.png,0,10,8
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,15,20,0
10__M_Left_index_finger.png,4,22,7
10__M_Left_index_finger.png,1,20,6
10__M_Left_index_finger.png,2,16,9
10__M_Left_index_finger.png,1,20,3
10__M_Left_index_finger.png,0,8,14
10__M_Left_index_finger.png,0,12,8
10__M_Left_index_finger.png,0,12,12
10__M_Left_index_finger.png,0,8,11
10__M_Left_index_finger.png,0,16,8
10__M_Left_index_finger.png,0,16,7
10__M_Left_index_finger.png,4,16,2
10__M_Left_index_finger.png,0,8,10
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,11,18,5
10__M_Left_index_finger.png,7,22,2
10__M_Left_index_finger.png,0,16,12
10__M_Left_index_finger.png,1,16,10
10__M_Left_index_finger.png,0,12,10
10__M_Left_index_finger.png,0,14,8
10__M_Left_index_finger.png,1,14,9
10__M_Left_index_finger.png,1,4,12
10__M_Left_index_finger.png,1,7,10
10__M_Left_index_finger.png,0,6,4
10__M_Left_index_finger.png,0,12,5
10__M_Left_index_finger.png,0,12,4
10__M_Left_index_finger.png,0,18,4
10__M_Left_index_finger.png,0,5,5
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,8,22,3
10__M_Left_index_finger.png,2,20,10
10__M_Left_index_finger.png,0,14,13
10__M_Left_index_finger.png,0,14,7
10__M_Left_index_finger.png,1,8,7
10__M_Left_index_finger.png,1,10,7
10__M_Left_index_finger.png,1,8,8
10__M_Left_index_finger.png,1,10,5
10__M_Left_index_finger.png,1,4,6
10__M_Left_index_finger.png,0,7,3
10__M_Left_index_finger.png,1,8,4
10__M_Left_index_finger.png,2,6,3
10__M_Left_index_finger.png,0,8,4
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,1,22,9
10__M_Left_index_finger.png,0,14,12
10__M_Left_index_finger.png,0,10,18
10__M_Left_index_finger.png,0,8,10
10__M_Left_index_finger.png,0,10,13
10__M_Left_index_finger.png,1,12,7
10__M_Left_index_finger.png,0,9,8
10__M_Left_index_finger.png,0,6,5
10__M_Left_index_finger.png,1,6,5
10__M_Left_index_finger.png,1,9,5
10__M_Left_index_finger.png,1,5,4
10__M_Left_index_finger.png,2,10,3
10__M_Left_index_finger.png,1,6,6
10__M_Left_index_finger.png,0,4,3
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,8,20,4
10__M_Left_index_finger.png,3,22,6
10__M_Left_index_finger.png,1,22,6
10__M_Left_index_finger.png,0,5,18
10__M_Left_index_finger.png,0,12,11
10__M_Left_index_finger.png,0,8,14
10__M_Left_index_finger.png,0,4,10
10__M_Left_index_finger.png,0,5,12
10__M_Left_index_finger.png,0,7,3
10__M_Left_index_finger.png,0,6,6
10__M_Left_index_finger.png,0,8,12
10__M_Left_index_finger.png,2,4,3
10__M_Left_index_finger.png,2,2,4
10__M_Left_index_finger.png,1,3,4
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,3,22,6
10__M_Left_index_finger.png,2,17,10
10__M_Left_index_finger.png,1,6,17
10__M_Left_index_finger.png,0,13,13
10__M_Left_index_finger.png,0,10,10
10__M_Left_index_finger.png,0,9,12
10__M_Left_index_finger.png,1,10,10
10__M_Left_index_finger.png,0,8,8
10__M_Left_index_finger.png,3,2,3
10__M_Left_index_finger.png,1,4,5
10__M_Left_index_finger.png,1,6,4
10__M_Left_index_finger.png,0,6,7
10__M_Left_index_finger.png,4,0,0
10__M_Left_index_finger.png,1,5,5
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,3,20,9
10__M_Left_index_finger.png,2,26,2
10__M_Left_index_finger.png,0,15,13
10__M_Left_index_finger.png,3,20,5
10__M_Left_index_finger.png,0,14,12
10__M_Left_index_finger.png,1,7,9
10__M_Left_index_finger.png,0,11,6
10__M_Left_index_finger.png,0,4,11
10__M_Left_index_finger.png,1,10,3
10__M_Left_index_finger.png,0,4,7
10__M_Left_index_finger.png,2,2,4
10__M_Left_index_finger.png,2,6,1
10__M_Left_index_finger.png,0,8,5
10__M_Left_index_finger.png,1,6,1
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,7,22,4
10__M_Left_index_finger.png,3,24,5
10__M_Left_index_finger.png,1,18,8
10__M_Left_index_finger.png,13,20,1
10__M_Left_index_finger.png,0,8,14
10__M_Left_index_finger.png,0,8,11
10__M_Left_index_finger.png,0,4,17
10__M_Left_index_finger.png,0,7,4
10__M_Left_index_finger.png,0,11,8
10__M_Left_index_finger.png,2,4,4
10__M_Left_index_finger.png,0,5,7
10__M_Left_index_finger.png,1,5,5
10__M_Left_index_finger.png,0,4,5
10__M_Left_index_finger.png,0,6,2
10__M_Left_index_finger.png,13,22,0
10__M_Left_index_finger.png,7,24,3
10__M_Left_index_finger.png,0,25,3
10__M_Left_index_finger.png,0,22,8
10__M_Left_index_finger.png,2,22,3
10__M_Left_index_finger.png,0,16,6
10__M_Left_index_finger.png,0,9,15
10__M_Left_index_finger.png,0,7,9
10__M_Left_index_finger.png,2,8,8
10__M_Left_index_finger.png,0,9,9
10__M_Left_index_finger.png,0,6,9
10__M_Left_index_finger.png,0,6,6
10__M_Left_index_finger.png,0,8,7
10__M_Left_index_finger.png,0,7,6
10__M_Left_index_finger.png,0,6,3
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,10,22,3
10__M_Left_index_finger.png,4,28,1
10__M_Left_index_finger.png,0,9,19
10__M_Left_index_finger.png,0,20,8
10__M_Left_index_finger.png,0,17,6
10__M_Left_index_finger.png,0,8,15
10__M_Left_index_finger.png,0,9,12
10__M_Left_index_finger.png,0,8,10
10__M_Left_index_finger.png,1,6,8
10__M_Left_index_finger.png,0,8,10
10__M_Left_index_finger.png,1,4,3
10__M_Left_index_finger.png,0,9,7
10__M_Left_index_finger.png,1,5,6
10__M_Left_index_finger.png,0,4,9
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,7,21,5
10__M_Left_index_finger.png,0,18,12
10__M_Left_index_finger.png,1,18,10
10__M_Left_index_finger.png,0,12,11
10__M_Left_index_finger.png,0,14,9
10__M_Left_index_finger.png,0,8,16
10__M_Left_index_finger.png,0,4,9
10__M_Left_index_finger.png,1,8,6
10__M_Left_index_finger.png,1,6,8
10__M_Left_index_finger.png,0,12,6
10__M_Left_index_finger.png,0,10,6
10__M_Left_index_finger.png,1,10,3
10__M_Left_index_finger.png,0,11,6
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,16,20,0
10__M_Left_index_finger.png,7,26,0
10__M_Left_index_finger.png,1,24,6
10__M_Left_index_finger.png,0,10,15
10__M_Left_index_finger.png,0,8,12
10__M_Left_index_finger.png,0,12,6
10__M_Left_index_finger.png,1,5,9
10__M_Left_index_finger.png,0,6,10
10__M_Left_index_finger.png,1,8,6
10__M_Left_index_finger.png,1,8,4
10__M_Left_index_finger.png,0,5,8
10__M_Left_index_finger.png,3,6,6
10__M_Left_index_finger.png,0,6,8
10__M_Left_little_finger.png,16,20,0
10__M_Left_little_finger.png,16,20,0
10__M_Left_little_finger.png,16,20,0
10__M_Left_little_finger.png,16,20,0
10__M_Left_little_finger.png,16,20,0
10__M_Left_little_finger.png,16,20,0
10__M_Left_little_finger.png,16,20,0
10__M_Left_little_finger.png,16,20,0
