filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,1101,469,244
10__M_Left_index_finger.png,448,501,343
10__M_Left_index_finger.png,498,668,472
10__M_Left_index_finger.png,9,285,457
10__M_Left_little_finger.png,1825,208,45
10__M_Left_little_finger.png,892,331,247
10__M_Left_little_finger.png,743,544,347
10__M_Left_little_finger.png,19,304,439
10__M_Left_middle_finger.png,563,639,318
10__M_Left_middle_finger.png,29,200,358
10__M_Left_middle_finger.png,570,622,371
10__M_Left_middle_finger.png,10,280,425
10__M_Left_ring_finger.png,867,478,262
10__M_Left_ring_finger.png,104,404,364
10__M_Left_ring_finger.png,438,552,420
10__M_Left_ring_finger.png,31,307,377
10__M_Left_thumb_finger.png,694,774,171
10__M_Left_thumb_finger.png,74,658,388
10__M_Left_thumb_finger.png,587,824,251
10__M_Left_thumb_finger.png,42,683,397
11__M_Left_index_finger.png,406,366,516
11__M_Left_index_finger.png,25,285,552
11__M_Left_index_finger.png,802,348,324
11__M_Left_index_finger.png,265,335,349
11__M_Left_little_finger.png,868,368,396
11__M_Left_little_finger.png,51,241,555
11__M_Left_little_finger.png,1463,234,192
11__M_Left_little_finger.png,1074,252,254
11__M_Left_middle_finger.png,725,266,257
11__M_Left_middle_finger.png,17,211,387
11__M_Left_middle_finger.png,1308,232,188
11__M_Left_middle_finger.png,655,233,111
11__M_Left_ring_finger.png,948,347,290
11__M_Left_ring_finger.png,0,181,630
11__M_Left_ring_finger.png,1256,279,228
11__M_Left_ring_finger.png,597,349,352
11__M_Left_thumb_finger.png,953,592,252
11__M_Left_thumb_finger.png,108,470,552
11__M_Left_thumb_finger.png,676,579,397
11__M_Left_thumb_finger.png,25,171,458
12__M_Left_index_finger.png,841,306,345
12__M_Left_index_finger.png,53,153,241
12__M_Left_index_finger.png,1445,272,146
12__M_Left_index_finger.png,773,249,235
12__M_Left_little_finger.png,804,298,517
12__M_Left_little_finger.png,31,197,422
12__M_Left_little_finger.png,1527,210,170
12__M_Left_little_finger.png,957,245,267
12__M_Left_middle_finger.png,657,343,373
12__M_Left_middle_finger.png,74,201,138
12__M_Left_middle_finger.png,779,314,369
12__M_Left_middle_finger.png,152,241,152
12__M_Left_ring_finger.png,1150,239,225
12__M_Left_ring_finger.png,377,235,250
12__M_Left_ring_finger.png,837,257,312
12__M_Left_ring_finger.png,184,287,302
12__M_Left_thumb_finger.png,1047,411,243
12__M_Left_thumb_finger.png,87,327,524
12__M_Left_thumb_finger.png,624,326,429
12__M_Left_thumb_finger.png,47,268,397
17__M_Left_index_finger.png,1151,415,123
17__M_Left_index_finger.png,57,223,155
17__M_Left_index_finger.png,1279,349,145
17__M_Left_index_finger.png,578,257,285
17__M_Left_little_finger.png,1380,233,96
17__M_Left_little_finger.png,187,226,163
17__M_Left_little_finger.png,1368,223,101
17__M_Left_little_finger.png,277,207,159
17__M_Left_middle_finger.png,1171,312,188
17__M_Left_middle_finger.png,279,264,154
17__M_Left_middle_finger.png,1077,293,165
17__M_Left_middle_finger.png,253,253,202
17__M_Left_ring_finger.png,1556,209,32
17__M_Left_ring_finger.png,36,133,119
17__M_Left_ring_finger.png,1609,206,24
17__M_Left_ring_finger.png,92,201,174
17__M_Left_thumb_finger.png,1319,399,131
17__M_Left_thumb_finger.png,47,576,434
17__M_Left_thumb_finger.png,1229,310,242
17__M_Left_thumb_finger.png,16,439,382
1__M_Left_index_finger.png,1052,236,265
1__M_Left_index_finger.png,217,251,255
1__M_Left_index_finger.png,995,301,204
1__M_Left_index_finger.png,118,244,201
1__M_Left_little_finger.png,1192,237,249
1__M_Left_little_finger.png,208,229,172
1__M_Left_little_finger.png,1388,248,178
1__M_Left_little_finger.png,718,197,219
1__M_Left_middle_finger.png,807,288,306
1__M_Left_middle_finger.png,21,175,304
1__M_Left_middle_finger.png,839,312,366
1__M_Left_middle_finger.png,68,247,421
1__M_Left_ring_finger.png,1003,323,288
1__M_Left_ring_finger.png,145,199,485
1__M_Left_ring_finger.png,993,389,332
1__M_Left_ring_finger.png,224,224,392
1__M_Left_thumb_finger.png,923,438,278
1__M_Left_thumb_finger.png,5,317,575
