filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,18,22,1
10__M_Left_index_finger.png,12,20,7
10__M_Left_index_finger.png,12,24,4
10__M_Left_index_finger.png,1,21,10
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,18,22,1
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,19,22,0
10__M_Left_index_finger.png,8,32,0
10__M_Left_index_finger.png,8,24,6
10__M_Left_index_finger.png,0,13,15
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,18,22,0
10__M_Left_index_finger.png,17,24,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,16,24,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,8,32,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,3,26,6
10__M_Left_index_finger.png,0,12,9
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,14,26,0
10__M_Left_index_finger.png,4,20,11
10__M_Left_index_finger.png,3,18,10
10__M_Left_index_finger.png,2,22,4
10__M_Left_index_finger.png,0,8,17
10__M_Left_index_finger.png,1,14,9
10__M_Left_index_finger.png,0,15,11
10__M_Left_index_finger.png,0,14,11
10__M_Left_index_finger.png,0,19,10
10__M_Left_index_finger.png,4,14,7
10__M_Left_index_finger.png,0,11,11
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,9,21,7
10__M_Left_index_finger.png,8,20,8
10__M_Left_index_finger.png,1,16,16
10__M_Left_index_finger.png,1,18,7
10__M_Left_index_finger.png,1,16,9
10__M_Left_index_finger.png,0,18,9
10__M_Left_index_finger.png,1,7,13
10__M_Left_index_finger.png,0,10,10
10__M_Left_index_finger.png,1,8,2
10__M_Left_index_finger.png,2,14,5
10__M_Left_index_finger.png,0,18,6
10__M_Left_index_finger.png,1,5,6
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,18,22,1
10__M_Left_index_finger.png,7,22,9
10__M_Left_index_finger.png,0,16,16
10__M_Left_index_finger.png,2,22,4
10__M_Left_index_finger.png,1,10,9
10__M_Left_index_finger.png,1,10,9
10__M_Left_index_finger.png,0,10,8
10__M_Left_index_finger.png,1,10,8
10__M_Left_index_finger.png,1,7,5
10__M_Left_index_finger.png,0,8,5
10__M_Left_index_finger.png,3,6,4
10__M_Left_index_finger.png,0,8,5
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,1,20,15
10__M_Left_index_finger.png,0,20,11
10__M_Left_index_finger.png,0,9,15
10__M_Left_index_finger.png,0,13,14
10__M_Left_index_finger.png,0,14,9
10__M_Left_index_finger.png,0,9,9
10__M_Left_index_finger.png,1,8,6
10__M_Left_index_finger.png,1,7,7
10__M_Left_index_finger.png,2,5,4
10__M_Left_index_finger.png,2,8,8
10__M_Left_index_finger.png,0,8,8
10__M_Left_index_finger.png,1,4,3
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,5,20,11
10__M_Left_index_finger.png,2,22,13
10__M_Left_index_finger.png,1,13,14
10__M_Left_index_finger.png,0,8,19
10__M_Left_index_finger.png,0,12,14
10__M_Left_index_finger.png,0,7,10
10__M_Left_index_finger.png,1,3,14
10__M_Left_index_finger.png,0,10,3
10__M_Left_index_finger.png,0,11,8
10__M_Left_index_finger.png,4,4,5
10__M_Left_index_finger.png,2,4,4
10__M_Left_index_finger.png,1,3,4
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,2,24,9
10__M_Left_index_finger.png,0,13,19
10__M_Left_index_finger.png,2,7,20
10__M_Left_index_finger.png,0,12,13
10__M_Left_index_finger.png,0,11,13
10__M_Left_index_finger.png,0,14,11
10__M_Left_index_finger.png,0,10,6
10__M_Left_index_finger.png,1,4,0
10__M_Left_index_finger.png,1,6,7
10__M_Left_index_finger.png,1,10,6
10__M_Left_index_finger.png,4,2,0
10__M_Left_index_finger.png,1,5,6
10__M_Left_index_finger.png,20,22,0
10__M_Left_index_finger.png,7,24,6
10__M_Left_index_finger.png,3,22,8
10__M_Left_index_finger.png,5,20,8
10__M_Left_index_finger.png,0,23,7
10__M_Left_index_finger.png,0,7,15
10__M_Left_index_finger.png,0,13,6
10__M_Left_index_finger.png,0,6,12
10__M_Left_index_finger.png,1,8,7
10__M_Left_index_finger.png,0,4,6
10__M_Left_index_finger.png,3,6,0
10__M_Left_index_finger.png,0,8,7
10__M_Left_index_finger.png,0,8,2
10__M_Left_index_finger.png,17,24,0
10__M_Left_index_finger.png,10,28,2
10__M_Left_index_finger.png,2,24,9
10__M_Left_index_finger.png,7,18,10
10__M_Left_index_finger.png,1,20,9
10__M_Left_index_finger.png,1,8,13
