filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,417,88,0
10__M_Left_index_finger.png,350,108,19
10__M_Left_index_finger.png,311,125,29
10__M_Left_index_finger.png,129,195,83
10__M_Left_index_finger.png,228,180,51
10__M_Left_index_finger.png,5,155,146
10__M_Left_index_finger.png,0,79,128
10__M_Left_index_finger.png,5,99,77
10__M_Left_index_finger.png,160,202,82
10__M_Left_index_finger.png,22,133,166
10__M_Left_index_finger.png,4,61,118
10__M_Left_index_finger.png,2,59,72
10__M_Left_index_finger.png,238,194,39
10__M_Left_index_finger.png,7,173,160
10__M_Left_index_finger.png,1,68,154
10__M_Left_index_finger.png,1,92,101
10__M_Left_little_finger.png,420,86,0
10__M_Left_little_finger.png,420,86,0
10__M_Left_little_finger.png,420,86,0
10__M_Left_little_finger.png,293,145,39
10__M_Left_little_finger.png,420,86,0
10__M_Left_little_finger.png,336,110,34
10__M_Left_little_finger.png,100,97,101
10__M_Left_little_finger.png,9,67,79
10__M_Left_little_finger.png,316,144,21
10__M_Left_little_finger.png,7,144,151
10__M_Left_little_finger.png,8,61,120
10__M_Left_little_finger.png,7,77,61
10__M_Left_little_finger.png,353,128,13
10__M_Left_little_finger.png,4,146,151
10__M_Left_little_finger.png,5,63,110
10__M_Left_little_finger.png,4,92,112
10__M_Left_middle_finger.png,358,108,22
10__M_Left_middle_finger.png,40,170,110
10__M_Left_middle_finger.png,1,55,155
10__M_Left_middle_finger.png,11,62,59
10__M_Left_middle_finger.png,114,236,65
10__M_Left_middle_finger.png,1,150,101
10__M_Left_middle_finger.png,4,46,92
10__M_Left_middle_finger.png,14,36,35
10__M_Left_middle_finger.png,160,210,55
10__M_Left_middle_finger.png,3,92,163
10__M_Left_middle_finger.png,1,47,133
10__M_Left_middle_finger.png,6,49,52
10__M_Left_middle_finger.png,311,122,39
10__M_Left_middle_finger.png,17,210,107
10__M_Left_middle_finger.png,2,108,119
10__M_Left_middle_finger.png,4,73,90
10__M_Left_ring_finger.png,402,92,7
10__M_Left_ring_finger.png,186,147,66
10__M_Left_ring_finger.png,49,134,102
10__M_Left_ring_finger.png,36,158,106
10__M_Left_ring_finger.png,208,178,52
10__M_Left_ring_finger.png,2,107,111
10__M_Left_ring_finger.png,8,74,53
10__M_Left_ring_finger.png,12,54,61
10__M_Left_ring_finger.png,150,212,64
10__M_Left_ring_finger.png,1,94,116
10__M_Left_ring_finger.png,7,54,52
10__M_Left_ring_finger.png,9,58,58
10__M_Left_ring_finger.png,238,137,69
10__M_Left_ring_finger.png,2,114,157
10__M_Left_ring_finger.png,5,44,109
10__M_Left_ring_finger.png,9,110,122
10__M_Left_thumb_finger.png,369,104,16
10__M_Left_thumb_finger.png,82,227,45
10__M_Left_thumb_finger.png,52,243,54
10__M_Left_thumb_finger.png,16,130,120
10__M_Left_thumb_finger.png,178,208,37
10__M_Left_thumb_finger.png,12,243,61
10__M_Left_thumb_finger.png,4,186,80
10__M_Left_thumb_finger.png,3,85,114
10__M_Left_thumb_finger.png,147,182,95
10__M_Left_thumb_finger.png,8,197,122
10__M_Left_thumb_finger.png,8,160,107
10__M_Left_thumb_finger.png,8,124,73
10__M_Left_thumb_finger.png,291,166,17
10__M_Left_thumb_finger.png,43,267,50
10__M_Left_thumb_finger.png,15,207,79
10__M_Left_thumb_finger.png,3,141,122
11__M_Left_index_finger.png,255,119,59
11__M_Left_index_finger.png,61,100,129
11__M_Left_index_finger.png,1,67,148
11__M_Left_index_finger.png,16,131,109
11__M_Left_index_finger.png,67,132,126
11__M_Left_index_finger.png,3,38,160
11__M_Left_index_finger.png,5,35,123
11__M_Left_index_finger.png,0,44,144
11__M_Left_index_finger.png,116,132,98
11__M_Left_index_finger.png,1,55,127
11__M_Left_index_finger.png,9,40,87
11__M_Left_index_finger.png,14,48,80
11__M_Left_index_finger.png,363,97,18
11__M_Left_index_finger.png,192,116,63
11__M_Left_index_finger.png,70,105,91
11__M_Left_index_finger.png,71,151,76
11__M_Left_little_finger.png,414,88,3
11__M_Left_little_finger.png,48,119,166
11__M_Left_little_finger.png,2,46,160
11__M_Left_little_finger.png,32,110,115
11__M_Left_little_finger.png,301,154,26
11__M_Left_little_finger.png,4,87,171
11__M_Left_little_finger.png,1,56,113
11__M_Left_little_finger.png,4,44,113
11__M_Left_little_finger.png,356,98,33
11__M_Left_little_finger.png,33,101,167
